,client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,filter_age
0,836976,6.0,73.0,60,U,2.0,45105.3,6.0,9.0,60
1,2304905,7.0,94.0,58,U,2.0,110860.3,6.0,9.0,58
2,1439522,5.0,64.0,32,U,2.0,52467.78999999999,6.0,9.0,32
3,1562045,16.0,198.0,49,M,2.0,67454.65,3.0,6.0,49
4,5126305,12.0,145.0,33,F,2.0,103671.75,0.0,3.0,33
5,3727881,5.0,71.0,30,U,2.0,23915.6,0.0,3.0,30
6,272934,5.0,66.0,58,U,2.0,27021.42,2.0,5.0,58
7,388801,30.0,361.0,57,M,5.0,522498.72,1.0,4.0,57
8,285619,30.0,369.0,67,M,2.0,299388.72,3.0,6.0,none
9,8198645,15.0,189.0,54,F,2.0,382303.83,6.0,9.0,54
10,8368822,8.0,100.0,34,U,2.0,75578.54000000001,0.0,3.0,34
11,2537139,8.0,99.0,51,U,2.0,135940.68,6.0,9.0,51
12,2208717,5.0,67.0,33,U,2.0,29782.96,6.0,9.0,33
13,2214073,16.0,193.0,62,M,3.0,136818.03,6.0,9.0,62
14,2368987,5.0,71.0,54,U,2.0,44408.869999999995,2.0,5.0,54
15,2892152,4.0,58.0,36,U,2.0,46815.48,5.0,8.0,none
16,4536541,3.0,47.0,74,U,2.0,47804.5,1.0,4.0,none
17,3788589,10.0,122.0,32,M,2.0,30750.76,0.0,3.0,32
18,719792,11.0,136.0,31,F,2.0,111736.78,5.0,8.0,31
19,5904035,8.0,101.0,25,U,2.0,27848.76,3.0,6.0,25
20,1502049,8.0,100.0,31,U,2.0,28952.15,0.0,3.0,31
21,6590646,8.0,103.0,42,F,3.0,2768726.87,5.0,8.0,none
22,7585111,5.0,70.0,42,U,3.0,36621.41,1.0,4.0,none
23,3638336,12.0,152.0,30,M,3.0,54296.67,3.0,6.0,30
24,9520009,13.0,160.0,30,M,2.0,61062.57,6.0,9.0,30
25,1508759,6.0,80.0,58,U,2.0,66514.85,4.0,7.0,58
26,9381346,7.0,88.0,62,U,2.0,272252.76,0.0,3.0,62
27,7035604,7.0,86.0,30,U,2.0,28175.92,1.0,4.0,30
28,3055315,5.0,65.0,34,F,2.0,66560.69,1.0,5.0,34
