,client_id,time_step_1,time_step_2,time_step_3,time_confirm,Variation,total_time,Time_AVG,result,AVG_minutes
0,8320017,18.0,16.0,63.0,22.0,Test,119.0,29.8,succeed,0.5
1,1982004,4.0,15.0,68.0,93.0,Test,180.0,45.0,succeed,0.75
2,4446011,86.0,28.0,85.0,322.0,Control,521.0,130.2,succeed,2.17
3,2354414,15.0,28.0,19.0,71.0,Test,133.0,33.2,succeed,0.55
4,949210,4.0,36.0,51.0,49.0,Test,140.0,35.0,succeed,0.58
5,2965703,15.0,127.0,94.0,191.0,Test,427.0,106.8,succeed,1.78
6,1712929,13.0,13.0,47.0,30.0,Control,103.0,25.8,succeed,0.43
7,6685654,10.0,31.0,25.0,442.0,Test,508.0,127.0,succeed,2.12
8,6584990,14.0,15.0,131.0,51.0,Control,211.0,52.8,succeed,0.88
9,7690370,11.0,22.0,28.0,72.0,Test,133.0,33.2,succeed,0.55
10,9358626,5.0,6.0,75.0,51.0,Control,137.0,34.2,succeed,0.57
11,522661,10.0,59.0,170.0,50.0,Test,289.0,72.2,succeed,1.2
12,7996704,11.0,8.0,71.0,42.0,Control,132.0,33.0,succeed,0.55
13,598943,769.0,95.0,112.0,437.0,Control,1413.0,353.2,succeed,5.89
14,8491121,3.0,14.0,41.0,23.0,Test,81.0,20.2,succeed,0.34
15,768936,3.0,17.0,38.0,89.0,Test,147.0,36.8,succeed,0.61
16,5318449,4.0,28.0,20.0,51.0,Test,103.0,25.8,succeed,0.43
17,5022038,4.0,28.0,28.0,31.0,Test,91.0,22.8,succeed,0.38
18,632316,35.0,10.0,58.0,187.0,Test,290.0,72.5,succeed,1.21
19,1152171,14.0,22.0,76.0,90.0,Test,202.0,50.5,succeed,0.84
20,7902892,11.0,11.0,70.0,15.0,Test,107.0,26.8,succeed,0.45
21,722917,39.0,130.0,56.0,222.0,Test,447.0,111.8,succeed,1.86
22,6031726,76.0,42.0,49.0,38.0,Test,205.0,51.2,succeed,0.85
23,2145511,67.0,7.0,91.0,67.0,Control,232.0,58.0,succeed,0.97
24,4577314,34.0,86.0,288.0,102.0,Control,510.0,127.5,succeed,2.12
25,2358419,8.0,12.0,60.0,45.0,Test,125.0,31.2,succeed,0.52
26,8289357,11.0,61.0,81.0,23.0,Test,176.0,44.0,succeed,0.73
27,9774553,5.0,25.0,52.0,28.0,Test,110.0,27.5,succeed,0.46
28,3638107,97.0,83.0,73.0,112.0,Control,365.0,91.2,succeed,1.52
29,391025,12.0,6.0,30.0,86.0,Control,134.0,33.5,succeed,0.56
30,6954534,5.0,7.0,53.0,17.0,Test,82.0,20.5,succeed,0.34
31,8100455,79.0,17.0,79.0,15.0,Test,190.0,47.5,succeed,0.79
32,2050360,16.0,32.0,493.0,34.0,Test,575.0,143.8,succeed,2.4
33,2336869,32.0,24.0,100.0,115.0,Control,271.0,67.8,succeed,1.13
34,3544855,7.0,34.0,55.0,138.0,Test,234.0,58.5,succeed,0.98
35,7212234,14.0,16.0,76.0,55.0,Test,161.0,40.2,succeed,0.67
36,452583,26.0,24.0,120.0,108.0,Control,278.0,69.5,succeed,1.16
37,7690452,4.0,14.0,111.0,28.0,Test,157.0,39.2,succeed,0.65
38,5537612,23.0,61.0,96.0,71.0,Test,251.0,62.8,succeed,1.05
39,4256611,11.0,14.0,103.0,32.0,Test,160.0,40.0,succeed,0.67
40,137412,6.0,58.0,45.0,81.0,Test,190.0,47.5,succeed,0.79
41,5221768,15.0,26.0,311.0,38.0,Test,390.0,97.5,succeed,1.62
42,192518,6.0,7.0,79.0,57.0,Test,149.0,37.2,succeed,0.62
43,841242,22.0,9.0,229.0,61.0,Control,321.0,80.2,succeed,1.34
44,617840,37.0,12.0,85.0,385.0,Control,519.0,129.8,succeed,2.16
45,1929698,7.0,11.0,84.0,62.0,Control,164.0,41.0,succeed,0.68
46,8319726,3.0,14.0,77.0,14.0,Test,108.0,27.0,succeed,0.45
47,2856502,10.0,20.0,89.0,62.0,Test,181.0,45.2,succeed,0.75
48,5133382,7.0,13.0,52.0,29.0,Test,101.0,25.2,succeed,0.42
49,5255030,62.0,25.0,39.0,185.0,Test,311.0,77.8,succeed,1.3
50,7161996,14.0,10.0,167.0,49.0,Test,240.0,60.0,succeed,1.0
51,9888375,25.0,62.0,163.0,57.0,Control,307.0,76.8,succeed,1.28
52,7669299,36.0,8.0,65.0,207.0,Test,316.0,79.0,succeed,1.32
53,3399501,21.0,29.0,146.0,71.0,Test,267.0,66.8,succeed,1.11
54,693101,11.0,29.0,62.0,48.0,Test,150.0,37.5,succeed,0.62
55,6520285,14.0,50.0,151.0,76.0,Test,291.0,72.8,succeed,1.21
56,9997114,29.0,84.0,120.0,65.0,Control,298.0,74.5,succeed,1.24
57,2038707,90.0,122.0,175.0,318.0,Control,705.0,176.2,succeed,2.94
58,6960009,44.0,91.0,35.0,244.0,Control,414.0,103.5,succeed,1.72
59,2057773,17.0,11.0,14.0,90.0,Control,132.0,33.0,succeed,0.55
60,9378146,6.0,16.0,117.0,50.0,Control,189.0,47.2,succeed,0.79
61,148369,6.0,87.0,68.0,126.0,Test,287.0,71.8,succeed,1.2
62,9364005,5.0,54.0,152.0,17.0,Test,228.0,57.0,succeed,0.95
63,6442655,84.0,188.0,66.0,337.0,Test,675.0,168.8,succeed,2.81
64,7873338,105.0,22.0,76.0,182.0,Control,385.0,96.2,succeed,1.6
65,3155140,6.0,6.0,107.0,40.0,Control,159.0,39.8,succeed,0.66
66,924852,6.0,42.0,382.0,44.0,Test,474.0,118.5,succeed,1.98
67,8330343,10.0,36.0,100.0,38.0,Test,184.0,46.0,succeed,0.77
68,4778491,4.0,44.0,183.0,21.0,Test,252.0,63.0,succeed,1.05
69,7177069,2.0,61.0,38.0,19.0,Test,120.0,30.0,succeed,0.5
70,9059531,58.0,14.0,59.0,193.0,Control,324.0,81.0,succeed,1.35
71,7705990,12.0,7.0,101.0,42.0,Test,162.0,40.5,succeed,0.68
72,6224299,28.0,23.0,90.0,69.0,Control,210.0,52.5,succeed,0.88
73,7087847,21.0,83.0,103.0,58.0,Control,265.0,66.2,succeed,1.1
74,5786954,8.0,23.0,168.0,36.0,Test,235.0,58.8,succeed,0.98
75,117276,10.0,16.0,66.0,51.0,Test,143.0,35.8,succeed,0.6
76,7441896,27.0,16.0,123.0,130.0,Control,296.0,74.0,succeed,1.23
77,4101033,21.0,28.0,92.0,54.0,Control,195.0,48.8,succeed,0.81
