,client_id,Variation,mode,result,Time_AVG,total_time
0,9988021,Test,start,not succeed,0.0,
1,8320017,Test,,succeed,29.8,119.0
2,4033851,Control,confirm,error,0.0,
3,1982004,Test,,succeed,45.0,180.0
4,9294070,Control,start,not succeed,0.0,
5,9466803,Test,start,not succeed,0.0,
6,3170143,Test,start,error,0.0,
7,6651403,Control,step_1,error,0.0,
8,5887227,Test,start,error,0.0,
9,2105948,Control,step_1,error,0.0,
10,438567,Test,confirm,error,0.0,
11,2519971,Test,confirm,error,0.0,
12,9814849,Control,confirm,error,0.0,
13,5407849,Test,confirm,error,0.0,
14,7286739,Control,confirm,error,0.0,
15,4446011,Control,,succeed,130.2,521.0
16,5308474,Test,confirm,error,0.0,
17,2991219,Test,confirm,error,0.0,
18,2354414,Test,,succeed,33.2,133.0
19,949210,Test,,succeed,35.0,140.0
20,4229407,Control,step_1,error,0.0,
21,9987707,Test,confirm,error,0.0,
22,2709011,Test,confirm,error,0.0,
23,4507502,Test,confirm,error,0.0,
24,2842481,Control,start,not succeed,0.0,
25,2317698,Test,confirm,error,0.0,
26,3013805,Test,confirm,error,0.0,
27,1218661,Control,start,not succeed,0.0,
28,2965703,Test,,succeed,106.8,427.0
29,1712929,Control,,succeed,25.8,103.0
30,2328234,Test,step_1,error,0.0,
31,800925,Control,start,not succeed,0.0,
32,6685654,Test,,succeed,127.0,508.0
33,8766054,Test,start,not succeed,0.0,
34,4726500,Test,,succeed,24.0,96.0
35,9504867,Test,start,not succeed,0.0,
36,1242238,Control,start,not succeed,0.0,
37,7800773,Test,start,not succeed,0.0,
38,9477476,Control,start,not succeed,0.0,
39,1338778,Control,confirm,error,0.0,
40,6584990,Control,,succeed,52.8,211.0
41,7859827,Test,start,not succeed,0.0,
42,7407692,Test,start,not succeed,0.0,
43,7040762,Control,start,not succeed,0.0,
44,9900469,Test,start,not succeed,0.0,
45,5169372,Control,confirm,error,0.0,
46,5267250,Control,start,not succeed,0.0,
47,2079440,Test,confirm,error,0.0,
48,5376894,Test,start,not succeed,0.0,
49,3751049,Control,confirm,error,0.0,
50,8240010,Test,start,not succeed,0.0,
51,6110816,Test,confirm,error,0.0,
52,2550129,Test,confirm,error,0.0,
53,9912156,Control,,succeed,48.2,193.0
54,7690370,Test,,succeed,33.2,133.0
55,9885354,Test,confirm,error,0.0,
56,1962381,Test,start,not succeed,0.0,
57,229701,Control,,succeed,12.2,49.0
58,2818303,Control,confirm,error,0.0,
59,6229916,Test,confirm,error,0.0,
60,9358626,Control,,succeed,34.2,137.0
61,4773291,Control,start,not succeed,0.0,
62,4953263,Control,start,not succeed,0.0,
63,522661,Test,,succeed,72.2,289.0
64,3754789,Control,,succeed,14.2,57.0
65,3066535,Control,start,not succeed,0.0,
66,9545426,Control,start,not succeed,0.0,
67,4778144,Control,confirm,error,0.0,
68,2000786,Control,start,not succeed,0.0,
69,1532932,Test,start,error,0.0,
70,9096386,Test,start,not succeed,0.0,
71,6986475,Control,confirm,error,0.0,
72,7996704,Control,,succeed,33.0,132.0
73,2211277,Test,confirm,error,0.0,
74,9268841,Test,start,not succeed,0.0,
75,4213800,Control,start,not succeed,0.0,
76,1763518,Control,confirm,error,0.0,
77,7485024,Test,start,not succeed,0.0,
78,2437471,Control,confirm,error,0.0,
79,1628554,Test,confirm,error,0.0,
80,9744906,Test,start,not succeed,0.0,
81,7289266,Control,start,not succeed,0.0,
82,3883711,Test,start,not succeed,0.0,
83,8123801,Test,start,not succeed,0.0,
84,598943,Control,,succeed,353.2,1413.0
85,8491121,Test,,succeed,20.2,81.0
86,8861901,Control,confirm,error,0.0,
87,6853744,Control,start,not succeed,0.0,
88,1404893,Control,start,not succeed,0.0,
89,768936,Test,,succeed,36.8,147.0
90,5408845,Test,start,not succeed,0.0,
91,9336495,Control,start,not succeed,0.0,
92,4744361,Control,start,not succeed,0.0,
93,2397739,Test,confirm,error,0.0,
94,2136502,Test,confirm,error,0.0,
95,7501437,Test,start,not succeed,0.0,
96,9628154,Control,start,not succeed,0.0,
97,9293919,Control,start,not succeed,0.0,
98,5318449,Test,,succeed,25.8,103.0
99,5022038,Test,,succeed,22.8,91.0
100,2565373,Control,confirm,error,0.0,
101,5745157,Test,confirm,error,0.0,
102,6653427,Test,confirm,error,0.0,
103,6071019,Control,confirm,error,0.0,
104,632316,Test,,succeed,72.5,290.0
105,1152171,Test,,succeed,50.5,202.0
106,8188670,Control,confirm,error,0.0,
107,1021747,Test,start,not succeed,0.0,
108,226198,Test,confirm,error,0.0,
109,6216233,Control,start,not succeed,0.0,
110,1846219,Test,,succeed,39.8,159.0
111,2093449,Test,confirm,error,0.0,
112,7902892,Test,,succeed,26.8,107.0
113,722917,Test,,succeed,111.8,447.0
114,4747144,Control,,succeed,75.5,302.0
115,2199722,Test,confirm,error,0.0,
116,2235331,Test,start,not succeed,0.0,
117,8313694,Control,start,not succeed,0.0,
118,2382696,Test,confirm,error,0.0,
119,2679453,Control,start,error,0.0,
120,7276973,Control,start,not succeed,0.0,
121,4532572,Test,confirm,error,0.0,
122,8771952,Test,confirm,error,0.0,
123,5256566,Control,start,error,0.0,
124,1342790,Control,start,not succeed,0.0,
125,9775174,Test,start,not succeed,0.0,
126,3703187,Test,start,not succeed,0.0,
127,2769120,Control,start,not succeed,0.0,
128,6031726,Test,,succeed,51.2,205.0
129,8870709,Control,confirm,error,0.0,
130,2145511,Control,,succeed,58.0,232.0
131,461846,Control,start,error,0.0,
132,4878112,Control,confirm,error,0.0,
133,843249,Test,start,not succeed,0.0,
134,5018154,Test,confirm,error,0.0,
135,9414396,Control,start,not succeed,0.0,
136,6650565,Control,confirm,error,0.0,
137,2062199,Control,start,not succeed,0.0,
138,6682559,Test,confirm,error,0.0,
139,9516496,Test,start,not succeed,0.0,
140,3382939,Test,start,not succeed,0.0,
141,7833565,Test,,succeed,30.0,120.0
142,9448266,Test,start,not succeed,0.0,
143,2406356,Test,start,not succeed,0.0,
144,7112284,Control,start,not succeed,0.0,
145,6141432,Control,confirm,error,0.0,
146,2015197,Control,confirm,error,0.0,
147,5429577,Control,start,error,0.0,
148,1636347,Control,start,not succeed,0.0,
149,4577314,Control,,succeed,127.5,510.0
150,3068817,Test,start,not succeed,0.0,
151,2358419,Test,,succeed,31.2,125.0
152,6283739,Control,start,not succeed,0.0,
153,8289357,Test,,succeed,44.0,176.0
154,1423857,Control,step_1,error,0.0,
155,117916,Test,confirm,error,0.0,
156,2810561,Test,confirm,error,0.0,
157,2040881,Control,confirm,error,0.0,
158,6547909,Control,step_1,error,0.0,
159,9774553,Test,,succeed,27.5,110.0
160,203702,Control,start,not succeed,0.0,
161,2336869,Control,,succeed,67.8,271.0
162,3638107,Control,,succeed,91.2,365.0
163,391025,Control,,succeed,33.5,134.0
164,6954534,Test,,succeed,20.5,82.0
165,7636277,Control,,succeed,37.8,151.0
166,8100455,Test,,succeed,47.5,190.0
167,3548541,Test,confirm,error,0.0,
168,2050360,Test,,succeed,143.8,575.0
169,8675285,Test,confirm,error,0.0,
170,868124,Control,,succeed,23.8,95.0
171,8241574,Test,start,not succeed,0.0,
172,559169,Control,start,not succeed,0.0,
173,2276090,Control,confirm,error,0.0,
174,1095432,Test,confirm,error,0.0,
175,3036660,Control,confirm,error,0.0,
176,5546524,Control,start,not succeed,0.0,
177,3544855,Test,,succeed,58.5,234.0
178,7474517,Control,confirm,error,0.0,
179,7212234,Test,,succeed,40.2,161.0
180,9207047,Test,confirm,error,0.0,
181,452583,Control,,succeed,69.5,278.0
182,7762269,Test,confirm,error,0.0,
183,7599262,Test,start,not succeed,0.0,
184,945176,Control,start,not succeed,0.0,
185,7690452,Test,,succeed,39.2,157.0
186,5537612,Test,,succeed,62.8,251.0
187,4256611,Test,,succeed,40.0,160.0
188,2889049,Control,start,error,0.0,
189,137412,Test,,succeed,47.5,190.0
190,171492,Test,confirm,error,0.0,
191,668996,Control,start,not succeed,0.0,
192,8076294,Control,confirm,error,0.0,
193,8893466,Test,start,not succeed,0.0,
194,4727155,Test,start,not succeed,0.0,
195,4493573,Test,confirm,error,0.0,
196,2797397,Control,,succeed,68.2,273.0
197,6480779,Control,start,not succeed,0.0,
198,257840,Test,,succeed,32.5,130.0
199,7340414,Control,,succeed,315.5,1262.0
200,5221768,Test,,succeed,97.5,390.0
201,2306578,Test,confirm,error,0.0,
202,9700346,Test,start,not succeed,0.0,
203,192518,Test,,succeed,37.2,149.0
204,5163125,Control,start,not succeed,0.0,
205,5821983,Control,start,not succeed,0.0,
206,1884538,Control,start,error,0.0,
207,902895,Test,start,not succeed,0.0,
208,841242,Control,,succeed,80.2,321.0
209,872142,Control,start,not succeed,0.0,
210,3480918,Test,,succeed,53.2,213.0
211,8203999,Test,confirm,error,0.0,
212,617840,Control,,succeed,129.8,519.0
213,1929698,Control,,succeed,41.0,164.0
214,8963925,Test,confirm,error,0.0,
215,7758940,Test,confirm,error,0.0,
216,8319726,Test,,succeed,27.0,108.0
217,298590,Test,start,not succeed,0.0,
218,2856502,Test,,succeed,45.2,181.0
219,6930182,Test,step_1,error,0.0,
220,965266,Control,start,not succeed,0.0,
221,2465098,Test,confirm,error,0.0,
222,1667380,Test,start,not succeed,0.0,
223,8701900,Test,start,not succeed,0.0,
224,5133382,Test,,succeed,25.2,101.0
225,913704,Test,start,not succeed,0.0,
226,1519456,Test,start,not succeed,0.0,
227,8424645,Control,confirm,error,0.0,
228,7284366,Test,start,not succeed,0.0,
229,1933359,Test,confirm,error,0.0,
230,4506445,Test,confirm,error,0.0,
231,8366788,Test,confirm,error,0.0,
232,7214811,Test,start,not succeed,0.0,
233,6819326,Control,start,not succeed,0.0,
